Checkpoint,Max,Mean,Std,Zero Coverages (%)
100,0.49477983223356664,0.07036825455260537,0.11883650521126018,53.5
200,0.536878841382518,0.07493338208152361,0.12099548941281028,52.5
300,0.49477983223356664,0.06826191430004958,0.11235538211403771,56.00000000000001
400,0.536878841382518,0.07521604647880205,0.12411395006880867,56.49999999999999
500,0.536878841382518,0.06808254215662833,0.11306485328883578,57.99999999999999
600,0.5391248421674285,0.07502181948913637,0.12343191108458097,54.50000000000001
700,0.5078990718398881,0.06506463016205313,0.1155639821842295,60.5
800,0.5393565208080651,0.06898762456755028,0.11792623375338536,56.00000000000001
900,0.6352458145665156,0.0672406907788428,0.11917705590485159,57.49999999999999
1000,0.5761167150214809,0.06797698676192482,0.11690016547591735,58.5
1100,0.5610012111545375,0.07025032150346582,0.12024566126944623,56.99999999999999
1200,0.536878841382518,0.06611427852422119,0.11371610798823356,59.0
1300,0.536878841382518,0.06460827346529407,0.10993005276572808,54.0
1400,0.536878841382518,0.07691333076406778,0.12803152050923247,54.50000000000001
1500,0.536878841382518,0.0713543599426841,0.11589863661475959,55.50000000000001
1600,0.49477983223356664,0.06685854320714035,0.10995803313726751,56.00000000000001
1700,0.6066652692756285,0.06589407619094963,0.11897960679214893,57.49999999999999
1800,0.5577988338014985,0.06735989795484697,0.11763925526757446,58.5
1900,0.536878841382518,0.07006978319713478,0.11884045276928341,53.0
2000,0.536878841382518,0.07334435797493379,0.11562576077999939,53.5
2100,0.536878841382518,0.06694655802861348,0.11450555697438057,57.99999999999999
2200,0.49477983223356664,0.06774176520212569,0.11802229586024666,56.49999999999999
2300,0.536878841382518,0.07182010510592501,0.1201098745670443,56.99999999999999
2400,0.536878841382518,0.06612336009183163,0.11389660570568129,56.99999999999999
2500,0.536878841382518,0.0642219626110938,0.11059435457649375,59.0
2600,0.49477983223356664,0.06620265296381221,0.11328742930212206,58.5
2700,0.588061811612132,0.06371849254054597,0.1142505581502119,60.0
2800,0.536878841382518,0.06726923593365879,0.11503302485113569,56.00000000000001
2900,0.5293037231681268,0.07165841038442483,0.12071274087134619,57.99999999999999
3000,0.536878841382518,0.06334682159069135,0.10930259281122844,56.99999999999999
3100,0.536878841382518,0.06321307782810039,0.1087162363609604,58.5
3200,0.6148442930617293,0.07080505261356328,0.1193797594772257,56.99999999999999
3300,0.536878841382518,0.0661287618740664,0.11129357179316848,57.99999999999999
3400,0.536878841382518,0.06638708748434714,0.11377661308041252,57.49999999999999
3500,0.536878841382518,0.06654576575846984,0.11049662166956736,57.49999999999999
3600,0.536878841382518,0.06622578718005823,0.113707120369855,58.5
3700,0.49477983223356664,0.06999442555359887,0.11375726364976553,56.00000000000001
3800,0.536878841382518,0.06883461829218296,0.11680553339730045,55.50000000000001
3900,0.536878841382518,0.0714925307242653,0.12015499227867082,55.50000000000001
4000,0.49477983223356664,0.06894337547366769,0.1117479291363408,56.00000000000001
