Checkpoint,Episode,Coverage
100,1,0.2833545619163234
100,2,0.0
100,3,0.17621585955794875
100,4,0.014934096044659418
100,5,0.0
100,6,0.0
100,7,0.045232197471653475
100,8,0.0
100,9,0.0
100,10,0.0
100,11,0.20644501070623258
100,12,0.0
100,13,0.14355847759200846
100,14,0.03467222198852688
100,15,0.0
100,16,0.0252644203273005
100,17,0.014368597074275317
100,18,0.0
100,19,0.08039107245224825
100,20,0.0
100,21,0.01935937086378436
100,22,0.4006662061467531
100,23,0.16035483413169177
100,24,0.0
100,25,0.23543677241185096
100,26,0.0
100,27,0.14850110482366768
100,28,0.0
100,29,0.0
100,30,0.1307615913739887
100,31,0.0
100,32,0.1442138835210686
100,33,0.2940139719937154
100,34,0.0
100,35,0.1845683908401454
100,36,0.03187287630059907
100,37,0.08716804584080805
100,38,0.0014382180331336822
100,39,0.22192125018682804
100,40,0.0
100,41,0.0
100,42,0.49477983223356664
100,43,0.0
100,44,0.0
100,45,0.4014483522575694
100,46,0.0
100,47,0.0
100,48,0.0
100,49,0.0
100,50,0.013638984448612038
100,51,0.0
100,52,0.0
100,53,0.005399280938300394
100,54,0.0001831264190867421
100,55,0.0
100,56,0.09945952271373357
100,57,0.0
100,58,0.0938820519102921
100,59,0.0
100,60,0.020819049624089245
100,61,0.040960915939184155
100,62,0.20384270488454823
100,63,0.0
100,64,0.013613329091445518
100,65,0.0
100,66,0.0436783545134905
100,67,0.01718181866913071
100,68,0.15640795615466835
100,69,0.16039426967950604
100,70,0.3503106321884392
100,71,0.0
100,72,0.10605780734692094
100,73,0.11394243762264582
100,74,0.0
100,75,0.0
100,76,0.0
100,77,0.0
100,78,0.0
100,79,0.0
100,80,0.0
100,81,0.1226895634665516
100,82,0.23178190014124406
100,83,0.0
100,84,0.0
100,85,0.2857723469855439
100,86,0.0
100,87,0.12543735463917358
100,88,0.11106968199482713
100,89,0.0
100,90,0.29479357484825697
100,91,3.3855397938423843e-06
100,92,0.0
100,93,0.4878384335303618
100,94,0.023390832111009188
100,95,0.22562989612412507
100,96,0.0
100,97,0.16203028771854142
100,98,0.0
100,99,0.26805767504282846
100,100,0.0
100,101,0.006383327577621653
100,102,0.0
100,103,0.2935470119194736
100,104,0.0
100,105,0.0
100,106,0.14543999310505573
100,107,0.0
100,108,0.0
100,109,0.0
100,110,0.0
100,111,0.031032981159829096
100,112,0.021268744119440908
100,113,0.0
100,114,0.46835664161093604
100,115,0.002884040661876486
100,116,0.0
100,117,0.12867995547130992
100,118,0.0
100,119,0.0
100,120,0.0
100,121,0.28313857951558985
100,122,0.16421231430622074
100,123,0.0
100,124,0.0
100,125,0.0
100,126,0.0888687051807507
100,127,0.10592776078507166
100,128,0.0
100,129,0.0
100,130,0.0
100,131,0.0
100,132,0.0
100,133,0.0
100,134,0.0
100,135,0.0
100,136,0.0
100,137,0.0
100,138,0.0
100,139,0.0
100,140,0.027160106093420743
100,141,0.05653156503895325
100,142,0.022928580097731095
100,143,0.0
100,144,0.0
100,145,0.3654342231717225
100,146,0.0
100,147,0.0
100,148,0.0
100,149,0.21368230991468226
100,150,0.0
100,151,0.012042857568031402
100,152,0.1871152016488576
100,153,0.2894491031106163
100,154,0.0
100,155,0.10860904342502166
100,156,0.0
100,157,0.03612118017968924
100,158,0.0
100,159,0.0
100,160,0.0
100,161,0.0
100,162,0.0
100,163,0.0
100,164,0.0
100,165,0.0
100,166,0.0
100,167,0.0
100,168,0.1404835392673546
100,169,0.0
100,170,0.014782159118041111
100,171,0.0
100,172,0.0
100,173,0.0
100,174,0.0
100,175,0.30304323424012736
100,176,0.023307642950911905
100,177,0.0
100,178,0.051147509822910685
100,179,0.0
100,180,0.0
100,181,5.64478367657493e-05
100,182,0.0
100,183,0.09154439654013305
100,184,0.0
100,185,0.3917441242433983
100,186,0.0
100,187,0.19770867853087112
100,188,0.46633662044219115
100,189,0.011421514888385444
100,190,0.27839556117260994
100,191,0.47885161766614925
100,192,0.07598122248470161
100,193,0.37595417195003206
100,194,0.12007539219071574
100,195,0.0
100,196,0.0
100,197,0.0
100,198,0.0
100,199,0.194707602589849
100,200,0.04008685854732433
200,1,0.30468679646479674
200,2,0.03826847308815016
200,3,0.17621585955794875
200,4,0.0
200,5,0.0
200,6,0.0
200,7,0.045232197471653475
200,8,0.0
200,9,0.30594198072701295
200,10,0.0
200,11,0.0
200,12,0.0
200,13,0.14355847759200846
200,14,8.612343912733273e-06
200,15,0.0
200,16,0.0
200,17,0.014368597074275317
